time,lasttime,lat,lng,speed,course,altitude,comment
8/8/10 12:12,8/8/10 12:12,41.07917,-81.54483,33,56,705.92,/HackPGH Balloon 2
8/8/10 12:13,8/8/10 12:13,41.08033,-81.54233,31,62,882.7,/HackPGH Balloon 2
8/8/10 12:13,8/8/10 12:13,41.08133,-81.54,17,76,1085.7,/HackPGH Balloon 2
8/8/10 12:14,8/8/10 12:14,41.08217,-81.5375,33,84,1295.7,/HackPGH Balloon 2
8/8/10 12:14,8/8/10 12:14,41.083,-81.53517,41,57,1513.64,/HackPGH Balloon 2
8/8/10 12:15,8/8/10 12:16,41.08333,-81.53217,17,93,1722.73,/HackPGH Balloon 2
8/8/10 12:16,8/8/10 12:16,41.08417,-81.52783,17,116,2123.85,/HackPGH Balloon 2
8/8/10 12:16,8/8/10 12:16,41.084,-81.5265,11,158,2316.78,/HackPGH Balloon 2
8/8/10 12:17,8/8/10 12:17,41.08333,-81.52467,24,104,2517.65,/HackPGH Balloon 2
8/8/10 12:17,8/8/10 12:17,41.08317,-81.523,2,125,2710.59,/HackPGH Balloon 2
8/8/10 12:18,8/8/10 12:18,41.08317,-81.52183,19,54,2895.6,/HackPGH Balloon 2
8/8/10 12:18,8/8/10 12:18,41.08267,-81.52033,30,106,3083.66,/HackPGH Balloon 2
8/8/10 12:19,8/8/10 12:19,41.08167,-81.51883,39,136,3283.61,/HackPGH Balloon 2
8/8/10 12:19,8/8/10 12:19,41.0805,-81.517,7,158,3485.69,/HackPGH Balloon 2
8/8/10 12:20,8/8/10 12:20,41.079,-81.51533,20,135,3693.57,/HackPGH Balloon 2
8/8/10 12:21,8/8/10 12:21,41.07367,-81.50733,19,118,4299.51,/HackPGH Balloon 2
8/8/10 12:22,8/8/10 12:22,41.07183,-81.505,43,154,4531.46,/HackPGH Balloon 2
8/8/10 12:22,8/8/10 12:22,41.07033,-81.5025,20,105,4739.64,/HackPGH Balloon 2
8/8/10 12:23,8/8/10 12:23,41.06867,-81.49633,43,104,5164.53,/HackPGH Balloon 2
